Code,Name,Latitude,Longitude,No_Observed,Number_By_Party_Hours,year,Editor_Comments
KSQU,Quivira N.W.R.,38.15,-98.4833,25002,1063.9149,1997,
TXBS,Big Spring,32.2391,-101.4162,17592,938.24,1997,
CAST,Stockton,38.116,-121.3954,13304,77.6876,1997,
TXMU,Muleshoe N.W.R.,33.9563,-102.7783,10000,512.8205,1997,
NMBD,Bosque del Apache N.W.R.,33.8051,-106.8907,9500,316.6667,1997,
TXMI,Midland,31.95,-102.0333,6657,75.6477,1997,
TNHI,Hiwassee,35.3655,-84.92,6361,83.6974,1997,
TXMM,Matagorda County-Mad Island Marsh,28.6833,-95.9833,4632,15.4916,1997,
CARC,Rio Cosumnes,38.3505,-121.4175,3718,21.8385,1997,
TXLS,La Sal Vieja,26.4849,-97.9649,3285,40.061,1997,
TXVI,Victoria,28.8723,-97.0784,2594,24.5877,1997,
TXLA,Laguna Atascosa N.W.R.,26.2391,-97.3814,1679,17.3093,1997,
FLGA,Gainesville,29.6027,-82.3127,1596,9.7615,1997,
TXUC,Uvalde County,29.2096,-99.7862,1511,43.482,1997,
TXRO,Rockport,28.0669,-97.1167,1413,15.1935,1997,
FLEM,Emeralda-Sunnyhill,28.85,-81.8501,1407,24.0513,1997,
TXBZ,Brazos Bend,29.3734,-95.6688,1264,13.3053,1997,
CACW,Caswell-Westley,37.6061,-121.174,1230,19.2188,1997,
TXFR,Freeport,29.0172,-95.3551,1172,3.703,1997,
TXCC,Corpus Christi,27.8334,-97.5833,1090,9.6889,1997,
FLKV,Kissimmee Valley,28.2062,-81.3936,934,10.0973,1997,
CACP,Carrizo Plain,35.25,-119.85,928,19.134,1997,
TXAY,Armand Bayou,29.5498,-95.0489,810,7.7512,1997,
NMRO,Roswell,33.397,-104.3983,808,14.4933,1997,
TXKI,Kingsville,27.4658,-97.8551,756,11.2836,1997,
ORSI,Sauvie Island,45.7562,-122.8008,680,6.4151,1997,
TXCK,Choke Canyon,28.4913,-98.3082,651,6.0558,1997,
TXAR,Aransas N.W.R.,28.2333,-96.8833,515,5.4211,1997,
TXCF,Corpus Christi (Flour Bluff),27.6584,-97.2938,434,2.9726,1997,
TXBA,Balmorhea,30.9858,-103.7459,431,11.7279,1997,
NMCA,Caballo,32.953,-107.3122,427,11.3867,1997,
OKWA,Washita N.W.R.,35.6495,-99.2797,406,7.2178,1997,
TXCY,Cypress Creek,29.9561,-95.89,313,2.8455,1997,
FLLP,Lake Placid,27.2601,-81.3441,280,1.9178,1997,
FLLW,Lake Wales,27.8939,-81.5189,264,1.4387,1997,
INWH,Whitewater S.P.,39.5909,-84.9936,220,8,1997,
TXAP,Attwater Prairie Chicken N.W.R.,29.6344,-96.3667,204,1.971,1997,
GAAB,Albany,31.4333,-84.4167,201,5.5448,1997,
FLEP,East Pasco,28.3103,-82.2374,200,4.5455,1997,
TXCS,College Station,30.593,-96.3175,192,2.1756,1997,
TXWW,Welder Wildlife Refuge,28.1136,-97.4171,180,3.4615,1997,
CACO,Chico,39.722,-121.8238,163,1.63,1997,
FLCO,Cocoa,28.3622,-80.7026,155,1.1742,1997,
TXLV,Lewisville,33.0301,-96.9929,154,2.2815,1997,
NMAL,Albuquerque,35.1833,-106.6167,149,1.9867,1997,
FLEC,Econlockhatchee,28.7094,-81.1467,148,1.0983,1997,
TXCT,Coastal Tip,26.0278,-97.2334,139,5.6735,1997,
TXCP,Chaparral W.M.A.,28.3609,-99.3429,129,1.9111,1997,
FLBO,Brooksville,28.548,-82.3245,124,1.4985,1997,
FLWV,West Volusia County,29.0543,-81.3039,116,2.2201,1997,
FLAB,Aripeka-Bayport,28.4667,-82.5833,115,2.6744,1997,
CAPV,Peace Valley,39.1982,-121.8219,110,1.2121,1997,
